w1,w2,w3
0.3339,0.064005,0.1355
0.32135,0.06428,0.13238
0.39023,0.10472,0.18036
0.37065,0.09225,0.166
0.30579,0.053128,0.12006
0.33236,0.060493,0.13251
0.32365,0.057843,0.12826
0.3508,0.07584,0.14868
0.29142,0.049052,0.11326
0.3163,0.057518,0.12607
0.30165,0.047879,0.1151
0.35968,0.082038,0.15559
0.35838,0.078752,0.15283
0.38414,0.10211,0.17682
0.32809,0.057177,0.12894
0.34658,0.068812,0.1424
0.33401,0.067153,0.13785
0.35557,0.080025,0.15302
0.41168,0.1253,0.20116
0.34762,0.078496,0.14979
0.35992,0.082778,0.15619
0.3495,0.078813,0.15052
0.35682,0.081626,0.15453
0.30052,0.054216,0.11946
0.33862,0.065311,0.13771
0.33847,0.069552,0.14079
0.34976,0.074161,0.14717
0.37162,0.09125,0.16552
0.37877,0.097591,0.17208
0.3191,0.056696,0.12621
0.33504,0.070338,0.14046
0.3495,0.078605,0.15037
0.30558,0.04878,0.11681
0.30166,0.052554,0.11854
0.34212,0.066613,0.1396
0.35652,0.074076,0.1489
0.39076,0.10676,0.182
0.35347,0.074311,0.14826
0.35703,0.080234,0.15356
0.27094,0.041317,0.10214
0.36769,0.088221,0.16226
0.31293,0.059115,0.12635
0.32378,0.058028,0.12843
0.35872,0.083087,0.1561
0.38648,0.10605,0.18034
0.38395,0.1011,0.17603
0.35105,0.076082,0.14892
0.30348,0.052974,0.11933
0.38443,0.10479,0.17887
0.41737,0.13126,0.20705
0.36118,0.081012,0.15523
0.38317,0.10156,0.17616
0.36834,0.087475,0.16188
0.39554,0.11112,0.18646
0.31677,0.055053,0.12438
0.37433,0.094434,0.16858
0.42358,0.13641,0.21248
0.33676,0.062231,0.13495
0.29582,0.048272,0.11385
0.34198,0.073993,0.14499
0.32681,0.06247,0.13249
0.33565,0.0617,0.13427
0.30532,0.053778,0.12041
0.33118,0.067339,0.13723
0.3358,0.067814,0.1388
0.32688,0.062226,0.13233
0.32184,0.056724,0.12696
0.36384,0.084018,0.15814
0.35414,0.076682,0.15018
0.34151,0.071188,0.1428
0.32528,0.054376,0.12614
0.34614,0.074403,0.14639
0.31169,0.055427,0.12331
0.38147,0.098957,0.1738
0.34536,0.069222,0.14237
0.32716,0.061332,0.13175
0.40656,0.12032,0.19615
0.36389,0.084867,0.15878
0.374,0.093946,0.16813
0.33214,0.061171,0.13295
0.30957,0.054949,0.1224
0.3591,0.08291,0.15608
0.35064,0.075984,0.14874
0.4048,0.11894,0.19466
0.35164,0.074335,0.14779
0.35571,0.082368,0.15478
0.35009,0.077192,0.14948
0.31127,0.053475,0.12177
0.34274,0.066182,0.13944
0.34656,0.075204,0.14709
0.39828,0.11239,0.18812
0.34425,0.069254,0.1421
0.3283,0.062916,0.13322
0.37619,0.098496,0.17206
0.38373,0.09887,0.17433
0.36701,0.088965,0.16262
0.3797,0.097269,0.17209
0.39557,0.11219,0.18726
0.31477,0.060865,0.12813
0.34098,0.064398,0.13767
0.35736,0.07609,0.1506
0.38472,0.10003,0.17544
0.39804,0.11256,0.18819
0.3657,0.085048,0.1594
0.37709,0.091478,0.16714
0.34836,0.074574,0.1471
0.37175,0.08872,0.1637
0.32636,0.061106,0.13137
0.3989,0.11375,0.18929
0.34569,0.072737,0.14504
0.30436,0.051113,0.1182
0.34067,0.069293,0.14118
0.34716,0.07533,0.14734
0.3521,0.070785,0.14531
0.37926,0.097323,0.17201
0.34701,0.069478,0.143
0.35892,0.082396,0.15565
0.36381,0.080606,0.15563
0.36449,0.084691,0.15881
0.36602,0.086733,0.16072
0.36745,0.086839,0.16117
0.29009,0.047107,0.11148
0.39001,0.10443,0.18008
0.36235,0.086614,0.15966
0.36929,0.089659,0.16373
0.39502,0.11036,0.18577
0.37089,0.093173,0.16674
0.36731,0.087149,0.16137
0.35378,0.077589,0.15075
0.32119,0.056107,0.12633
0.39614,0.1097,0.18558
0.34961,0.08062,0.15188
0.34946,0.071604,0.14521
0.3439,0.072384,0.14431
0.38474,0.104,0.17837
0.31094,0.059045,0.12577
0.352,0.078739,0.15113
0.36886,0.089266,0.16333
0.38788,0.10505,0.17997
0.32895,0.065498,0.13529
0.36629,0.089745,0.163
0.32996,0.063046,0.13375
0.29242,0.040888,0.10752
0.37582,0.094888,0.16931
0.35019,0.073303,0.14665
0.40981,0.12247,0.19859
0.34896,0.072433,0.14569
0.32059,0.06183,0.13038
0.35642,0.076402,0.15058
0.33953,0.067587,0.13963
0.33885,0.067634,0.13948
0.31611,0.050526,0.12088
0.32796,0.058486,0.12987
0.36139,0.081949,0.15597
0.39273,0.10796,0.18339
0.35637,0.079787,0.15306
0.32619,0.059111,0.12986
0.39569,0.11032,0.18592
0.3604,0.08422,0.15738
0.40434,0.11702,0.19313
0.32932,0.062771,0.13338
0.3569,0.080042,0.15338
0.34054,0.071291,0.14262
0.34285,0.071749,0.14357
0.35933,0.081978,0.15545
0.37064,0.088873,0.16352
0.39306,0.10658,0.18247
